Fecha,Ano,Mes,Dia,TOTAL
2020-03-11 09:25:21,2020,3,11,42
2020-01-25 10:50:33,2020,1,25,20
2019-07-12 08:52:10,2019,7,12,40
2019-11-08 09:55:15,2019,11,8,13
2019-10-04 10:36:05,2019,10,4,25
2020-01-15 13:37:52,2020,1,15,6
2018-11-30 09:46:13,2018,11,30,54
2019-02-15 09:53:40,2019,2,15,38
2020-02-14 09:10:48,2020,2,14,38
2019-11-14 09:02:44,2019,11,14,34
2020-01-23 07:57:02,2020,1,23,27
2020-02-12 08:57:46,2020,2,12,0
2020-02-10 12:38:07,2020,2,10,25
2020-01-20 15:50:32,2020,1,20,15
2020-02-19 10:24:44,2020,2,19,43
2019-12-20 13:37:17,2019,12,20,30
2020-02-05 09:32:16,2020,2,5,0
2020-02-06 13:56:06,2020,2,6,6
2019-07-19 08:39:04,2019,7,19,12
2019-10-04 08:42:14,2019,10,4,15
2018-12-12 15:19:37,2018,12,12,5
2019-07-10 16:53:10,2019,7,10,10
2020-02-11 13:20:20,2020,2,11,9
2019-11-16 10:51:22,2019,11,16,4
2020-05-22 15:31:42,2020,5,22,9
2018-12-07 09:09:44,2018,12,7,16
2019-05-08 14:37:01,2019,5,8,30
2019-08-26 08:34:40,2019,8,26,39
2019-09-30 10:10:51,2019,9,30,30
2019-11-08 14:31:45,2019,11,8,11
2019-12-18 09:02:14,2019,12,18,0
2019-09-25 14:49:22,2019,9,25,10
2020-02-19 08:21:02,2020,2,19,0
2019-07-29 07:27:55,2019,7,29,0
2020-03-11 07:37:09,2020,3,11,1
2020-02-12 12:19:01,2020,2,12,0
2019-12-06 09:56:21,2019,12,6,6
2020-03-04 16:11:24,2020,3,4,4
2019-05-31 15:06:47,2019,5,31,10
2019-11-29 15:45:00,2019,11,29,12
2019-08-21 08:53:06,2019,8,21,1
2019-05-21 10:18:44,2019,5,21,6
2020-05-08 10:22:00,2020,5,8,7
2020-02-17 08:48:51,2020,2,17,20
2020-03-12 16:55:09,2020,3,12,18
2020-04-30 10:08:25,2020,4,30,7
2020-02-24 16:07:51,2020,2,24,24
2019-10-02 08:26:00,2019,10,2,5
2019-11-08 09:55:15,2019,11,8,0
2020-01-16 11:01:15,2020,1,16,80
2020-02-19 11:33:37,2020,2,19,0
2020-05-04 12:42:15,2020,5,4,8
2019-08-09 09:32:05,2019,8,9,8
2020-02-05 13:39:23,2020,2,5,6
2019-06-10 10:10:34,2019,6,10,8
2019-07-22 08:15:48,2019,7,22,0
2020-03-09 07:29:31,2020,3,9,0
2020-03-09 16:11:42,2020,3,9,20
2019-06-28 15:21:20,2019,6,28,4
2020-01-29 10:57:46,2020,1,29,6
2020-01-13 07:29:03,2020,1,13,6
2019-08-14 08:53:38,2019,8,14,4
2020-04-16 09:43:57,2020,4,16,8
2019-08-24 11:13:00,2019,8,24,0
2020-02-24 09:13:44,2020,2,24,0
2019-08-24 08:26:35,2019,8,24,0
2019-07-26 07:27:11,2019,7,26,15
2019-10-25 08:17:10,2019,10,25,13
2020-02-18 16:18:53,2020,2,18,31
2020-05-29 16:12:19,2020,5,29,9
